event1	event2	m1_1	m2_1	dist1	m1_2	m2_2	dist2	Blu	Rlu
S190425e	S190826u	2.159430	1.390684	102.150916	1.594133	1.005948	221.791283	1.188014E-18	2.991164E-02
S190425e	S190828j	2.159430	1.390684	102.150916	43.837041	35.304224	1996.229569	0.000000E+00	2.900086E-02
S190425e	S190828l	2.159430	1.390684	102.150916	32.131295	12.406218	1550.884781	0.000000E+00	2.899342E-02
S190425e	S190830y	2.159430	1.390684	102.150916	13.495155	4.414696	1058.882711	1.575207E-213	2.783902E-02
S190425e	S190901ap	2.159430	1.390684	102.150916	2.057573	1.260297	241.128579	1.011018E-31	2.675162E-02
S190426c	190425	5.518208	1.939483	673.410613	2.063355	1.424297	163.086727	1.030925E-26	2.959493E+01
S190426c	190511	5.518208	1.939483	673.410613	3.850878	1.518912	1683.381047	7.171223E+02	1.813928E+00
S190426c	190521g	5.518208	1.939483	673.410613	191.015006	80.104642	2312.369982	0.000000E+00	8.146599E-01
S190426c	190521r	5.518208	1.939483	673.410613	51.535979	39.138066	1121.147106	0.000000E+00	8.034683E-01
S190426c	S190413ac	5.518208	1.939483	673.410613	83.477306	55.758698	4215.177173	0.000000E+00	2.137814E+00
S190426c	S190421ar	5.518208	1.939483	673.410613	48.520636	37.469384	1559.917750	0.000000E+00	7.308035E+00
S190426c	S190425e	5.518208	1.939483	673.410613	2.159430	1.390684	102.150916	5.039260E-15	2.299409E+01
S190426c	S190510g	5.518208	1.939483	673.410613	2.127052	1.396210	214.506238	7.570192E+00	2.051858E+00
S190426c	S190602aq	5.518208	1.939483	673.410613	110.865717	60.439404	2538.314813	0.000000E+00	3.941082E-01
S190426c	S190630ag	5.518208	1.939483	673.410613	43.756930	25.094726	894.666939	0.000000E+00	1.336087E-01
S190426c	S190701ah	5.518208	1.939483	673.410613	77.306595	53.661396	1841.469922	0.000000E+00	1.288444E-01
S190426c	S190706ai	5.518208	1.939483	673.410613	112.933503	74.121426	5294.057929	0.000000E+00	1.088822E-01
S190426c	S190707q	5.518208	1.939483	673.410613	13.665300	9.435456	806.532865	0.000000E+00	1.072602E-01
S190426c	S190708ap	5.518208	1.939483	673.410613	21.480518	14.643784	861.632575	0.000000E+00	1.019582E-01
S190426c	S190720a	5.518208	1.939483	673.410613	15.956410	9.005985	816.716283	0.000000E+00	7.298268E-02
S190426c	S190727h	5.518208	1.939483	673.410613	57.666366	45.159167	2858.799342	0.000000E+00	5.979957E-02
S190426c	S190728q	5.518208	1.939483	673.410613	14.403733	9.446159	897.634710	0.000000E+00	5.821030E-02
S190426c	S190802ab	5.518208	1.939483	673.410613	1.884447	1.031714	161.440189	5.557388E-22	5.055915E-02
S190426c	S190804f	5.518208	1.939483	673.410613	2.661309	0.997223	458.682711	1.029137E-17	4.900510E-02
S190426c	S190812an	5.518208	1.939483	673.410613	3.388247	1.510654	280.148786	6.532971E-04	4.043376E-02
S190426c	S190814bv	5.518208	1.939483	673.410613	24.687522	2.707457	266.583126	0.000000E+00	3.859727E-02
S190426c	S190826u	5.518208	1.939483	673.410613	1.594133	1.005948	221.791283	2.703977E-21	3.077406E-02
